freq (Hz),v (m/s),Thrust force (N)
66,2,193.6138718
66,3,211.2443224
66,4,232.3846483
66,5,257.7987855
66,6,288.4837954
66,7,325.616646
66,8,369.8629523
66,9,419.9041069
66,10,458.8191127
66,11,401.9137754
66,12,174.9777513
66,13,-91.57368464
66,14,-308.7833531
66,15,-505.5373256
66,16,-597.1466601
66,17,-555.0526817
66,18,-463.5393037
66,19,-383.2954529
66,20,-324.6615243
66,21,-284.9396037
66,22,-260.6231331
66,23,-245.4263183
66,24,-232.403017
66,25,-217.66976
66,26,-201.0825629
66,27,-184.4313068
66,28,-169.4855694
66,29,-157.0761805
66,30,-147.116452
66,31,-139.025942
66,32,-132.1421013
66,33,-125.9561223
66,34,-120.1788141
66,35,-114.704729
66,36,-109.5402557
66,37,-104.7363786
66,38,-100.3427722
66,39,-96.38462144
66,40,-92.85665229
66,41,-89.72739022
66,42,-86.94783051
66,43,-84.46065849
66,44,-82.20795161
66,45,-80.13659397
66,46,-78.20141989
66,47,-76.36648941
66,48,-74.6050212
66,49,-72.89848304
66,50,-71.23524664
66,51,-69.60910273
66,52,-68.01783021
66,53,-66.46193066
66,54,-64.943579
66,55,-63.46580054
66,56,-62.03186009
66,57,-60.64483549
66,58,-59.30734304
66,59,-58.02138214
66,60,-56.78826945
66,61,-55.60863693
66,62,-54.48247288
66,63,-53.40918955
66,64,-52.38770497
66,65,-51.41652976
71,0,155.1157068
71,1,165.5802538
71,2,178.1579036
71,3,193.1264593
71,4,210.8897417
71,5,232.0149009
71,6,257.2616763
71,7,287.6087942
71,8,324.1536674
71,9,367.2085636
71,10,415.8157218
71,11,446.6905256
71,12,369.3682892
71,13,138.3518402
71,14,-104.2317841
71,15,-293.2967886
71,16,-475.152623
71,17,-578.5872709
71,18,-555.9127301
71,19,-471.3860405
71,20,-389.9062542
71,21,-328.5260794
71,22,-284.8718181
71,23,-256.169054
71,24,-238.756159
71,25,-226.9479966
71,26,-215.62385
71,27,-202.4436466
71,28,-187.7276998
71,29,-173.0086688
71,30,-159.7024198
71,31,-148.5059068
71,32,-139.4121948
71,33,-132.0018141
71,34,-125.7438887
71,35,-120.189169
71,36,-115.0450546
71,37,-110.1698959
71,38,-105.5297224
71,39,-101.148486
71,40,-97.06803745
71,41,-93.3228565
71,42,-89.92823027
71,43,-86.87806813
71,44,-84.14831564
71,45,-81.70275015
71,46,-79.49902711
71,47,-77.49380821
71,48,-75.64650585
71,49,-73.92161741
71,50,-72.28985484
71,51,-70.72836259
71,52,-69.2203195
71,53,-67.75417855
71,54,-66.32274079
71,55,-64.92220224
71,56,-63.55126245
71,57,-62.2103445
71,58,-60.90094786
71,59,-59.62513647
71,60,-58.38515243
71,61,-57.18313973
71,62,-56.02095977
71,63,-54.90008028
71,64,-53.82152082
71,65,-52.78583998
76,0,144.8847294
76,1,154.010349
76,2,164.9004575
76,3,177.7505093
76,4,192.8560382
76,5,210.6397221
76,6,231.6745911
76,7,256.7116798
76,8,286.725829
76,9,322.6370423
76,10,364.633025
76,11,412.0482646
76,12,432.8916269
76,13,335.9870491
76,14,104.356255
76,15,-115.8402434
76,16,-280.0111635
76,17,-446.3698019
76,18,-557.4863874
76,19,-553.6118578
76,20,-478.5592315
76,21,-397.03831
76,22,-333.3899666
76,23,-286.930276
76,24,-254.4127901
76,25,-233.5933471
76,26,-220.7398801
76,27,-211.073566
76,28,-200.9664826
76,29,-189.0870045
76,30,-175.9659456
76,31,-162.8907471
76,32,-150.9967059
76,33,-140.8659088
76,34,-132.5378703
76,35,-125.7120857
76,36,-119.9684844
76,37,-114.9216049
76,38,-110.2935464
76,39,-105.9251202
76,40,-101.752849
76,41,-97.77446505
76,42,-94.01677783
76,43,-90.512063
76,44,-87.28401725
76,45,-84.34169928
76,46,-81.67899125
76,47,-79.27721887
76,48,-77.10909788
76,49,-75.14279117
76,50,-73.34539442
76,51,-71.68556167
76,52,-70.13523547
76,53,-68.67058749
76,54,-67.2723363
76,55,-65.92561963
76,56,-64.61958068
76,57,-63.34679864
76,58,-62.10266051
76,59,-60.88474161
76,60,-59.69223709
76,61,-58.52546747
76,62,-57.38546758
76,63,-56.2736583
76,64,-55.19159538
76,65,-54.14078585
81,0,135.8728871
81,1,143.8994138
81,2,153.4147486
81,3,164.5551393
81,4,177.5385825
81,5,192.6829582
81,6,210.422318
81,7,231.326565
81,8,256.1424508
81,9,285.8493922
81,10,321.0140658
81,11,362.3618325
81,12,408.3324774
81,13,417.1607347
81,14,302.3154851
81,15,73.04070462
81,16,-126.4107331
81,17,-268.6613964
81,18,-419.531379
81,19,-534.6617534
81,20,-548.0339104
81,21,-484.4421626
81,22,-404.4648537
81,23,-338.8720015
81,24,-290.2584882
81,25,-254.8801139
81,26,-230.63913
81,27,-215.3657548
81,28,-205.4944624
81,29,-197.2196628
81,30,-188.0478879
81,31,-177.2864216
81,32,-165.53631
81,33,-153.8682108
81,34,-143.195916
81,35,-134.0049647
81,36,-126.3601823
81,37,-120.0481123
81,38,-114.738987
81,39,-110.1082158
81,40,-105.9021832
81,41,-101.9577027
81,42,-98.19250579
81,43,-94.58278025
81,44,-91.13883864
81,45,-87.88489742
81,46,-84.8451098
81,47,-82.03567206
81,48,-79.46172833
81,49,-77.11751339
81,50,-74.98832776
81,51,-73.05327234
81,52,-71.28802797
81,53,-69.66726987
81,54,-68.16653415
81,55,-66.76350379
81,56,-65.43876883
81,57,-64.17615731
81,58,-62.96274486
81,59,-61.78864441
81,60,-60.64666223
81,61,-59.53188785
81,62,-58.44126766
81,63,-57.37319575
81,64,-56.32714314
81,65,-55.30333621
86,0,127.8787051
86,1,134.993652
86,2,143.3759619
86,3,153.1190394
86,4,164.3850702
86,5,177.415964
86,6,192.5436518
86,7,210.2031416
86,8,230.957311
86,9,255.5698498
86,10,284.9600174
86,11,319.2880476
86,12,360.6128872
86,13,404.2389037
86,14,399.4386236
86,15,268.8703296
86,16,44.38798207
86,17,-135.9577425
86,18,-258.9749926
86,19,-394.8078639
86,20,-510.887034
86,21,-539.3447211
86,22,-488.4930954
86,23,-411.8680508
86,24,-344.8228269
86,25,-294.3073287
86,26,-256.8539373
86,27,-229.7909682
86,28,-211.6698046
86,29,-200.2406451
86,30,-192.3183751
86,31,-184.9882457
86,32,-176.58034
86,33,-166.7957825
86,34,-156.2319259
86,35,-145.7750193
86,36,-136.1640674
86,37,-127.8043595
86,38,-120.7728201
86,39,-114.9193019
86,40,-109.9862183
86,41,-105.7036085
86,42,-101.8460581
86,43,-98.25528411
86,44,-94.83910922
86,45,-91.55792282
86,46,-88.40712125
86,47,-85.40076742
86,48,-82.55895601
86,49,-79.89948606
86,50,-77.43337857
86,51,-75.16332283
86,52,-73.08406607
86,53,-71.18389358
86,54,-69.44655509
86,55,-67.85320518
86,56,-66.38410501
86,57,-65.01996706
86,58,-63.74291607
86,59,-62.53709436
86,60,-61.38896835
86,61,-60.28740287
86,62,-59.22356855
86,63,-58.19073951
86,64,-57.18402857
86,65,-56.20009591
91,0,120.7425674
91,1,127.094318
91,2,134.5330038
91,3,143.1208638
91,4,152.9796387
91,5,164.2959589
91,6,177.3266799
91,7,192.4075449
91,8,209.967423
91,9,230.5669952
91,10,255.0225069
91,11,283.9797439
91,12,317.5952813
91,13,359.4617709
91,14,399.3000882
91,15,379.8448347
91,16,236.1042583
91,17,18.3312721
91,18,-144.5037889
91,19,-250.6921533
91,20,-372.2394213
91,21,-486.8306274
91,22,-527.9108896
91,23,-490.3305445
91,24,-418.8461396
91,25,-351.1389992
91,26,-298.8173468
91,27,-259.7290093
91,28,-230.562853
91,29,-209.820247
91,30,-196.1754365
91,31,-187.3826596
91,32,-180.7459664
91,33,-174.095125
91,34,-166.3403358
91,35,-157.4182403
91,36,-147.8864002
91,37,-138.4774363
91,38,-129.7921499
91,39,-122.1695025
91,40,-115.6904152
91,41,-110.2506053
91,42,-105.6494993
91,43,-101.6644091
91,44,-98.09856346
91,45,-94.80387334
91,46,-91.6849124
91,47,-88.69168793
91,48,-85.80754159
91,49,-83.03651
91,50,-80.39256497
91,51,-77.89170458
91,52,-75.54693947
91,53,-73.36572749
91,54,-71.34922684
91,55,-69.49274138
91,56,-67.78683039
